name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Chicago IL,-87.63,41.88,1.99E-02,1.14E-02,6.73E-03,4.30E-03,2.69E-03,1.59E-03,8.31E-04,3.68E-04,1.42E-04,5.06E-05,1.84E-05,7.12E-06,2.84E-06,1.09E-06,3.76E-07,1.11E-07,2.71E-08,5.20E-09,5.86E-10,1.57E-11
Miami FL,-80.19,25.77,3.79E-03,2.40E-03,1.47E-03,8.77E-04,4.67E-04,2.22E-04,9.92E-05,4.50E-05,2.15E-05,1.06E-05,5.26E-06,2.55E-06,1.17E-06,4.93E-07,1.87E-07,6.26E-08,1.82E-08,4.46E-09,8.13E-10,8.30E-11
Washington DC,-77.03,38.89,2.06E-02,1.16E-02,6.56E-03,3.91E-03,2.19E-03,1.13E-03,5.33E-04,2.38E-04,1.01E-04,4.12E-05,1.61E-05,6.21E-06,2.35E-06,8.54E-07,2.93E-07,9.28E-08,2.61E-08,6.25E-09,1.11E-09,1.08E-10
South Bend IN,-86.25,41.67,2.11E-02,1.19E-02,6.89E-03,4.31E-03,2.63E-03,1.50E-03,7.43E-04,3.06E-04,1.05E-04,3.08E-05,8.38E-06,2.29E-06,7.10E-07,2.49E-07,8.21E-08,2.36E-08,5.66E-09,1.06E-09,1.15E-10,2.58E-12
Philadelphia PA,-75.13,40,2.27E-02,1.28E-02,7.22E-03,4.28E-03,2.41E-03,1.30E-03,6.73E-04,3.46E-04,1.76E-04,8.83E-05,4.33E-05,2.06E-05,9.31E-06,3.87E-06,1.45E-06,4.77E-07,1.37E-07,3.33E-08,5.96E-09,5.84E-10
